" "		
" Cabergoline     ( Dostinex)"		"0.5"
" Symbicort"		"2"
" Zaditor Ophthalmic"		"1"
"*IND* Pexelizumab/Placebo"	"PEXEIND"	"1"
"*NF BRINZOLAMIDE (AZOPT)"		"1"
"*NF"	"GUAI600T"	"1200"
"*NF* Abatacept"	"ABAT250I"	"1000"
"*NF* Adefovir (HepSera)"		"20"
"*NF* Alemtuzumab"	"ALEM10I"	"15"
"*NF* Allopurinol Sodium"	"ALLO500I"	"100"
"*NF* Allopurinol Sodium"	"ALLO500I"	"200"
"*NF* Allopurinol Sodium"	"ALLO500I"	"300"
"*NF* Allopurinol Sodium"	"ALLO500I"	"400"
"*NF* Allopurinol Sodium"	"ALLO500I"	"500"
"*NF* Allopurinol Sodium"	"ALLO500I"	"600"
"*NF* Amoxapine"	"AMOX50"	"50"
"*NF* Argatroban"		"1"
"*NF* Arginine HCl"	"ARGI10I"	"10"
"*NF* Arginine HCl"	"ARGI10I"	"100"
"*NF* Arginine HCl"	"ARGI10I"	"30"
"*NF* Arginine HCl"	"ARGI10I"	"60"
"*NF* Basiliximab"	"SIMU20I"	"20"
"*NF* Beclomethasone Dipro 80 mcg Inh"	"BECLINH"	"1"
"*NF* Beclomethasone Dipro 80 mcg Inh"	"BECLINH"	"3"
"*NF* Beclomethasone Dipropionate Inhalation"	"BECLINH"	"1"
"*NF* Beclomethasone Dipropionate Inhalation"	"BECLINH"	"3"
"*NF* Beclomethasone Dipropionate Inhalation"	"BECLINH"	"4"
"*NF* Beclomethasone Dipropionate Inhalation"	"BECLINH"	"5"
"*NF* Benzoyl Peroxide 5% Wash"	"BENZLIQ"	"1"
"*NF* Bicalutamide"	"BICA50"	"50"
"*NF* Bimatoprost (Lumigan)"		"1"
"*NF* Budesonide"	"BUDE3"	"3"
"*NF* Budesonide"	"BUDE3"	"9"
"*NF* Butorphanol Tart. Nasal"	"BUTO1N"	"1"
"*NF* Capecitabine"	"CAPE500"	"1000"
"*NF* Capecitabine"	"CAPE500"	"1500"
"*NF* Caspofungin Acetate"	"CANC50I"	"50"
"*NF* Caspofungin Acetate"	"CANC50I"	MDV OR ADDITIVE)  (EA)"
"*NF* Caspofungin Acetate"	"CANC70I"	"70"
"*NF* Caspofungin Acetate"	"canc50i"	MDV OR ADDITIVE)  (EA)"
